argila;silte;areia;ds;ma;mi;c;elevation;soilslope;aspect;curvature;plancurve;profilecurve;tetas;umidade
21.42;35.62;42.97;1.41;0.0357;0.3887;2.28;50;0.00;-1.00;0.0000;0.0000;0.0000;0;0.4665
19.99;34.41;45.60;1.40;0.0425;0.4108;2.46;54;7.21;213.69;1.2800;0.6400;-0.6400;0;0.4213
24.00;29.70;46.30;1.31;0.1794;0.3135;2.45;95;29.12;105.95;0.6400;0.2174;-0.4226;0;0.5253
11.82;20.45;67.73;1.59;0.1257;0.2314;1.96;146;13.93;21.04;1.2800;0.5440;-0.7360;0;0.4096
22.60;25.17;52.23;1.67;0.0175;0.3331;2.35;71;7.62;293.20;-0.6400;-0.3840;0.2560;0;0.4436
17.33;15.14;67.53;1.22;0.2553;0.2746;2.13;142;5.10;78.69;0.6400;0.0000;-0.6400;0;0.5484
20.54;16.20;63.27;1.30;0.2109;0.2384;2.26;171;16.97;135.00;1.2800;0.6400;-0.6400;0;0.2722
15.50;14.67;69.83;1.50;0.2041;0.2268;2.28;129;14.56;344.05;0.6400;0.6024;-0.0376;0;0.4631
23.95;17.85;58.20;1.61;0.1240;0.2524;2.29;115;14.42;213.69;0.6400;-0.0985;-0.7385;0;0.3681
18.15;28.55;53.30;1.54;0.0621;0.3550;2.27;190;17.89;243.43;0.0000;0.0000;0.0000;0;0.4233
15.85;18.89;65.27;1.49;0.1242;0.2791;2.31;247;19.24;8.97;-1.2800;-0.7015;0.5785;0;0.3978
20.48;18.89;60.63;1.35;0.1239;0.3462;2.34;272;8.00;180.00;0.0000;0.0000;0.0000;0;0.4684
32.53;17.27;50.20;1.10;0.2126;0.3367;2.60;252;5.83;300.96;-1.2800;-0.4800;0.8000;0;0.3962
6.97;9.30;83.73;1.42;0.2660;0.1649;2.02;254;9.06;96.34;0.0000;0.0000;0.0000;0;0.4893
10.38;14.38;75.23;1.44;0.2591;0.1998;2.03;257;0.00;-1.00;0.0000;0.0000;0.0000;0;0.4663
16.54;19.12;64.33;1.65;0.0390;0.2624;2.19;321;1.41;225.00;0.0000;0.0000;0.0000;0;0.3501
23.09;29.35;47.57;1.40;0.0334;0.4254;2.31;295;8.94;333.43;-0.6400;-0.5120;0.1280;0;0.4478
24.39;22.21;53.40;1.20;0.2861;0.2489;2.90;310;7.62;156.80;-1.9200;-1.1520;0.7680;0;0.6196
18.37;14.37;67.27;1.47;0.1912;0.2295;2.28;324;20.25;57.09;-0.6400;-0.2560;0.3840;0;0.4241
15.05;18.89;66.07;1.46;0.1995;0.2578;2.05;322;4.47;333.43;-0.6400;0.0000;0.6400;0;0.3443
20.03;30.93;49.05;1.36;0.2670;0.2184;0.36;305.37;29.24;146.88;0.71;0.02;-0.69;0;0.4670
28.82;24.78;46.40;1.45;0.2816;0.1725;0.53;338.77;13.05;271.05;0.84;0.43;-0.41;0;0.5340
34.97;24.15;40.88;1.62;0.0894;0.3006;0.55;314.27;23.25;221.18;0.17;0.91;0.74;0;0.5580
12.33;31.22;56.45;1.38;0.3140;0.1656;0.61;330.66;16.38;318.33;0.07;0.34;0.41;0;0.4040
14.85;32.77;52.38;1.53;0.2348;0.1868;0.33;330.08;15.88;160.75;-0.99;1.49;0.50;0;0.3400
11.97;34.44;53.59;1.52;0.2735;0.1535;0.26;314.87;19.92;72.09;-1.04;1.53;0.50;0;0.3820
29.62;24.40;45.98;1.50;0.1659;0.2681;1.44;348.66;17.15;138.64;1.91;-1.12;0.79;0;0.5360
19.92;30.70;49.38;1.48;0.2291;0.2121;1.02;352.45;11.84;138.77;0.14;0.18;0.04;0;0.5070
18.20;33.72;48.08;1.35;0.2426;0.2490;0.47;342.06;27.51;162.42;0.77;-0.21;-0.98;0;0.5160
20.20;32.51;47.29;1.49;0.2538;0.1831;0.50;349.60;12.58;272.58;-0.47;-0.03;0.44;0;0.3740
27.75;25.74;46.51;1.58;0.0845;0.3191;1.19;336.08;35.92;168.19;1.16;0.81;-0.35;0;0.4470
9.15;32.76;58.09;1.54;0.2688;0.1486;0.25;349.08;16.25;325.29;-0.13;-0.82;-0.69;0;0.2700
16.19;35.26;48.55;1.58;0.1911;0.2121;0.62;348.16;9.79;297.18;-0.74;0.00;0.74;0;0.5090
19.17;27.63;53.20;1.38;0.2566;0.2245;0.72;348.46;13.20;177.19;0.15;-0.34;-0.48;0;0.5310
21.91;21.23;56.87;1.39;0.2900;0.1868;0.98;351.93;9.08;235.27;0.23;0.05;-0.18;0;0.5980
20.98;35.95;43.07;1.39;0.2392;0.2366;0.76;357.81;10.01;194.67;-0.04;-0.04;0.00;0;0.4000
16.35;20.45;63.20;1.44;0.2558;0.2009;0.68;357.55;17.04;172.88;-0.12;0.00;0.12;0;0.3900
12.29;35.33;52.38;1.47;0.2792;0.1675;0.22;355.76;15.82;237.17;-0.42;-0.03;0.39;0;0.3220
14.66;27.47;57.86;1.34;0.3157;0.1776;0.41;363.16;10.15;260.97;-3.51;0.62;4.13;0;0.4470
52.71;17.07;30.22;1.36;0.1965;0.2917;1.73;383.34;10.53;107.88;0.15;0.34;0.19;0;0.5020
12.66;31.04;56.30;1.41;0.3156;0.1541;0.60;382.29;19.50;143.76;0.89;0.44;-0.45;0;0.3700
21.42;35.62;42.97;1.41;0.0357;0.3887;2.28;50;0.00;-1.00;0.0000;0.0000;0.0000;1;0.4664
19.99;34.41;45.60;1.40;0.0425;0.4108;2.46;54;7.21;213.69;1.2800;0.6400;-0.6400;1;0.4154
24.00;29.70;46.30;1.31;0.1794;0.3135;2.45;95;29.12;105.95;0.6400;0.2174;-0.4226;1;0.4418
11.82;20.45;67.73;1.59;0.1257;0.2314;1.96;146;13.93;21.04;1.2800;0.5440;-0.7360;1;0.3594
22.60;25.17;52.23;1.67;0.0175;0.3331;2.35;71;7.62;293.20;-0.6400;-0.3840;0.2560;1;0.4175
17.33;15.14;67.53;1.22;0.2553;0.2746;2.13;142;5.10;78.69;0.6400;0.0000;-0.6400;1;0.4012
20.54;16.20;63.27;1.30;0.2109;0.2384;2.26;171;16.97;135.00;1.2800;0.6400;-0.6400;1;0.2270
15.50;14.67;69.83;1.50;0.2041;0.2268;2.28;129;14.56;344.05;0.6400;0.6024;-0.0376;1;0.3466
23.95;17.85;58.20;1.61;0.1240;0.2524;2.29;115;14.42;213.69;0.6400;-0.0985;-0.7385;1;0.3327
18.15;28.55;53.30;1.54;0.0621;0.3550;2.27;190;17.89;243.43;0.0000;0.0000;0.0000;1;0.4202
15.85;18.89;65.27;1.49;0.1242;0.2791;2.31;247;19.24;8.97;-1.2800;-0.7015;0.5785;1;0.3730
20.48;18.89;60.63;1.35;0.1239;0.3462;2.34;272;8.00;180.00;0.0000;0.0000;0.0000;1;0.4358
32.53;17.27;50.20;1.10;0.2126;0.3367;2.60;252;5.83;300.96;-1.2800;-0.4800;0.8000;1;0.3550
6.97;9.30;83.73;1.42;0.2660;0.1649;2.02;254;9.06;96.34;0.0000;0.0000;0.0000;1;0.4323
10.38;14.38;75.23;1.44;0.2591;0.1998;2.03;257;0.00;-1.00;0.0000;0.0000;0.0000;1;0.4172
16.54;19.12;64.33;1.65;0.0390;0.2624;2.19;321;1.41;225.00;0.0000;0.0000;0.0000;1;0.3229
23.09;29.35;47.57;1.40;0.0334;0.4254;2.31;295;8.94;333.43;-0.6400;-0.5120;0.1280;1;0.4405
24.39;22.21;53.40;1.20;0.2861;0.2489;2.90;310;7.62;156.80;-1.9200;-1.1520;0.7680;1;0.4904
18.37;14.37;67.27;1.47;0.1912;0.2295;2.28;324;20.25;57.09;-0.6400;-0.2560;0.3840;1;0.3111
15.05;18.89;66.07;1.46;0.1995;0.2578;2.05;322;4.47;333.43;-0.6400;0.0000;0.6400;1;0.2823
20.03;30.93;49.05;1.36;0.2670;0.2184;0.36;305.37;29.24;146.88;0.71;0.02;-0.69;1;0.4063
28.82;24.78;46.40;1.45;0.2816;0.1725;0.53;338.77;13.05;271.05;0.84;0.43;-0.41;1;0.3847
34.97;24.15;40.88;1.62;0.0894;0.3006;0.55;314.27;23.25;221.18;0.17;0.91;0.74;1;0.4376
12.33;31.22;56.45;1.38;0.3140;0.1656;0.61;330.66;16.38;318.33;0.07;0.34;0.41;1;0.3478
14.85;32.77;52.38;1.53;0.2348;0.1868;0.33;330.08;15.88;160.75;-0.99;1.49;0.50;1;0.3065
11.97;34.44;53.59;1.52;0.2735;0.1535;0.26;314.87;19.92;72.09;-1.04;1.53;0.50;1;0.3183
29.62;24.40;45.98;1.50;0.1659;0.2681;1.44;348.66;17.15;138.64;1.91;-1.12;0.79;1;0.4236
19.92;30.70;49.38;1.48;0.2291;0.2121;1.02;352.45;11.84;138.77;0.14;0.18;0.04;1;0.3689
18.20;33.72;48.08;1.35;0.2426;0.2490;0.47;342.06;27.51;162.42;0.77;-0.21;-0.98;1;0.4559
20.20;32.51;47.29;1.49;0.2538;0.1831;0.50;349.60;12.58;272.58;-0.47;-0.03;0.44;1;0.3265
27.75;25.74;46.51;1.58;0.0845;0.3191;1.19;336.08;35.92;168.19;1.16;0.81;-0.35;1;0.4350
9.15;32.76;58.09;1.54;0.2688;0.1486;0.25;349.08;16.25;325.29;-0.13;-0.82;-0.69;1;0.2479
16.19;35.26;48.55;1.58;0.1911;0.2121;0.62;348.16;9.79;297.18;-0.74;0.00;0.74;1;0.4854
19.17;27.63;53.20;1.38;0.2566;0.2245;0.72;348.46;13.20;177.19;0.15;-0.34;-0.48;1;0.4173
21.91;21.23;56.87;1.39;0.2900;0.1868;0.98;351.93;9.08;235.27;0.23;0.05;-0.18;1;0.3964
20.98;35.95;43.07;1.39;0.2392;0.2366;0.76;357.81;10.01;194.67;-0.04;-0.04;0.00;1;0.3761
16.35;20.45;63.20;1.44;0.2558;0.2009;0.68;357.55;17.04;172.88;-0.12;0.00;0.12;1;0.3476
12.29;35.33;52.38;1.47;0.2792;0.1675;0.22;355.76;15.82;237.17;-0.42;-0.03;0.39;1;0.3166
14.66;27.47;57.86;1.34;0.3157;0.1776;0.41;363.16;10.15;260.97;-3.51;0.62;4.13;1;0.4244
52.71;17.07;30.22;1.36;0.1965;0.2917;1.73;383.34;10.53;107.88;0.15;0.34;0.19;1;0.4775
12.66;31.04;56.30;1.41;0.3156;0.1541;0.60;382.29;19.50;143.76;0.89;0.44;-0.45;1;0.2822
21.42;35.62;42.97;1.41;0.0357;0.3887;2.28;50;0.00;-1.00;0.0000;0.0000;0.0000;6;0.4592
19.99;34.41;45.60;1.40;0.0425;0.4108;2.46;54;7.21;213.69;1.2800;0.6400;-0.6400;6;0.3663
24.00;29.70;46.30;1.31;0.1794;0.3135;2.45;95;29.12;105.95;0.6400;0.2174;-0.4226;6;0.3269
11.82;20.45;67.73;1.59;0.1257;0.2314;1.96;146;13.93;21.04;1.2800;0.5440;-0.7360;6;0.2619
22.60;25.17;52.23;1.67;0.0175;0.3331;2.35;71;7.62;293.20;-0.6400;-0.3840;0.2560;6;0.3648
17.33;15.14;67.53;1.22;0.2553;0.2746;2.13;142;5.10;78.69;0.6400;0.0000;-0.6400;6;0.2920
20.54;16.20;63.27;1.30;0.2109;0.2384;2.26;171;16.97;135.00;1.2800;0.6400;-0.6400;6;0.2125
15.50;14.67;69.83;1.50;0.2041;0.2268;2.28;129;14.56;344.05;0.6400;0.6024;-0.0376;6;0.2508
23.95;17.85;58.20;1.61;0.1240;0.2524;2.29;115;14.42;213.69;0.6400;-0.0985;-0.7385;6;0.2809
18.15;28.55;53.30;1.54;0.0621;0.3550;2.27;190;17.89;243.43;0.0000;0.0000;0.0000;6;0.3550
15.85;18.89;65.27;1.49;0.1242;0.2791;2.31;247;19.24;8.97;-1.2800;-0.7015;0.5785;6;0.2891
20.48;18.89;60.63;1.35;0.1239;0.3462;2.34;272;8.00;180.00;0.0000;0.0000;0.0000;6;0.3181
32.53;17.27;50.20;1.10;0.2126;0.3367;2.60;252;5.83;300.96;-1.2800;-0.4800;0.8000;6;0.2882
6.97;9.30;83.73;1.42;0.2660;0.1649;2.02;254;9.06;96.34;0.0000;0.0000;0.0000;6;0.2258
10.38;14.38;75.23;1.44;0.2591;0.1998;2.03;257;0.00;-1.00;0.0000;0.0000;0.0000;6;0.2781
16.54;19.12;64.33;1.65;0.0390;0.2624;2.19;321;1.41;225.00;0.0000;0.0000;0.0000;6;0.2756
23.09;29.35;47.57;1.40;0.0334;0.4254;2.31;295;8.94;333.43;-0.6400;-0.5120;0.1280;6;0.3955
24.39;22.21;53.40;1.20;0.2861;0.2489;2.90;310;7.62;156.80;-1.9200;-1.1520;0.7680;6;0.3397
18.37;14.37;67.27;1.47;0.1912;0.2295;2.28;324;20.25;57.09;-0.6400;-0.2560;0.3840;6;0.2141
15.05;18.89;66.07;1.46;0.1995;0.2578;2.05;322;4.47;333.43;-0.6400;0.0000;0.6400;6;0.2218
20.03;30.93;49.05;1.36;0.2670;0.2184;0.36;305.37;29.24;146.88;0.71;0.02;-0.69;6;0.2332
28.82;24.78;46.40;1.45;0.2816;0.1725;0.53;338.77;13.05;271.05;0.84;0.43;-0.41;6;0.2386
34.97;24.15;40.88;1.62;0.0894;0.3006;0.55;314.27;23.25;221.18;0.17;0.91;0.74;6;0.3435
12.33;31.22;56.45;1.38;0.3140;0.1656;0.61;330.66;16.38;318.33;0.07;0.34;0.41;6;0.2298
14.85;32.77;52.38;1.53;0.2348;0.1868;0.33;330.08;15.88;160.75;-0.99;1.49;0.50;6;0.1871
11.97;34.44;53.59;1.52;0.2735;0.1535;0.26;314.87;19.92;72.09;-1.04;1.53;0.50;6;0.2039
29.62;24.40;45.98;1.50;0.1659;0.2681;1.44;348.66;17.15;138.64;1.91;-1.12;0.79;6;0.2953
19.92;30.70;49.38;1.48;0.2291;0.2121;1.02;352.45;11.84;138.77;0.14;0.18;0.04;6;0.2319
18.20;33.72;48.08;1.35;0.2426;0.2490;0.47;342.06;27.51;162.42;0.77;-0.21;-0.98;6;0.2873
20.20;32.51;47.29;1.49;0.2538;0.1831;0.50;349.60;12.58;272.58;-0.47;-0.03;0.44;6;0.2346
27.75;25.74;46.51;1.58;0.0845;0.3191;1.19;336.08;35.92;168.19;1.16;0.81;-0.35;6;0.2569
9.15;32.76;58.09;1.54;0.2688;0.1486;0.25;349.08;16.25;325.29;-0.13;-0.82;-0.69;6;0.1553
16.19;35.26;48.55;1.58;0.1911;0.2121;0.62;348.16;9.79;297.18;-0.74;0.00;0.74;6;0.3279
19.17;27.63;53.20;1.38;0.2566;0.2245;0.72;348.46;13.20;177.19;0.15;-0.34;-0.48;6;0.2720
21.91;21.23;56.87;1.39;0.2900;0.1868;0.98;351.93;9.08;235.27;0.23;0.05;-0.18;6;0.2234
20.98;35.95;43.07;1.39;0.2392;0.2366;0.76;357.81;10.01;194.67;-0.04;-0.04;0.00;6;0.2813
16.35;20.45;63.20;1.44;0.2558;0.2009;0.68;357.55;17.04;172.88;-0.12;0.00;0.12;6;0.1978
12.29;35.33;52.38;1.47;0.2792;0.1675;0.22;355.76;15.82;237.17;-0.42;-0.03;0.39;6;0.1978
14.66;27.47;57.86;1.34;0.3157;0.1776;0.41;363.16;10.15;260.97;-3.51;0.62;4.13;6;0.3206
52.71;17.07;30.22;1.36;0.1965;0.2917;1.73;383.34;10.53;107.88;0.15;0.34;0.19;6;0.3633
12.66;31.04;56.30;1.41;0.3156;0.1541;0.60;382.29;19.50;143.76;0.89;0.44;-0.45;6;0.1660
21.42;35.62;42.97;1.41;0.0357;0.3887;2.28;50;0.00;-1.00;0.0000;0.0000;0.0000;10;0.4432
19.99;34.41;45.60;1.40;0.0425;0.4108;2.46;54;7.21;213.69;1.2800;0.6400;-0.6400;10;0.3443
24.00;29.70;46.30;1.31;0.1794;0.3135;2.45;95;29.12;105.95;0.6400;0.2174;-0.4226;10;0.3007
11.82;20.45;67.73;1.59;0.1257;0.2314;1.96;146;13.93;21.04;1.2800;0.5440;-0.7360;10;0.2366
22.60;25.17;52.23;1.67;0.0175;0.3331;2.35;71;7.62;293.20;-0.6400;-0.3840;0.2560;10;0.3502
17.33;15.14;67.53;1.22;0.2553;0.2746;2.13;142;5.10;78.69;0.6400;0.0000;-0.6400;10;0.2693
20.54;16.20;63.27;1.30;0.2109;0.2384;2.26;171;16.97;135.00;1.2800;0.6400;-0.6400;10;0.2094
15.50;14.67;69.83;1.50;0.2041;0.2268;2.28;129;14.56;344.05;0.6400;0.6024;-0.0376;10;0.2322
23.95;17.85;58.20;1.61;0.1240;0.2524;2.29;115;14.42;213.69;0.6400;-0.0985;-0.7385;10;0.2678
18.15;28.55;53.30;1.54;0.0621;0.3550;2.27;190;17.89;243.43;0.0000;0.0000;0.0000;10;0.3213
15.85;18.89;65.27;1.49;0.1242;0.2791;2.31;247;19.24;8.97;-1.2800;-0.7015;0.5785;10;0.2682
20.48;18.89;60.63;1.35;0.1239;0.3462;2.34;272;8.00;180.00;0.0000;0.0000;0.0000;10;0.2961
32.53;17.27;50.20;1.10;0.2126;0.3367;2.60;252;5.83;300.96;-1.2800;-0.4800;0.8000;10;0.2708
6.97;9.30;83.73;1.42;0.2660;0.1649;2.02;254;9.06;96.34;0.0000;0.0000;0.0000;10;0.1792
10.38;14.38;75.23;1.44;0.2591;0.1998;2.03;257;0.00;-1.00;0.0000;0.0000;0.0000;10;0.2406
16.54;19.12;64.33;1.65;0.0390;0.2624;2.19;321;1.41;225.00;0.0000;0.0000;0.0000;10;0.2612
23.09;29.35;47.57;1.40;0.0334;0.4254;2.31;295;8.94;333.43;-0.6400;-0.5120;0.1280;10;0.3750
24.39;22.21;53.40;1.20;0.2861;0.2489;2.90;310;7.62;156.80;-1.9200;-1.1520;0.7680;10;0.3073
18.37;14.37;67.27;1.47;0.1912;0.2295;2.28;324;20.25;57.09;-0.6400;-0.2560;0.3840;10;0.1941
15.05;18.89;66.07;1.46;0.1995;0.2578;2.05;322;4.47;333.43;-0.6400;0.0000;0.6400;10;0.2095
20.03;30.93;49.05;1.36;0.2670;0.2184;0.36;305.37;29.24;146.88;0.71;0.02;-0.69;10;0.1940
